box,harness,model,seed,api_calls,reasoning_tokens,output_tokens,input_tokens
runs,hermes,deepseek-4.1-flash,10,70,30584,51945,3604059
runs,hermes,deepseek-4.1-flash,11,122,52902,91831,10483258
runs,hermes,deepseek-4.1-flash,12,127,26861,52068,7683808
runs,hermes,deepseek-4.1-flash,13,139,33661,81958,11684644
runs,hermes,deepseek-4.1-flash,2,112,37336,99105,9219569
runs,hermes,deepseek-4.1-flash,3,135,28398,71723,9918159
runs,hermes,deepseek-4.1-flash,4,66,31404,53792,3477068
runs,hermes,deepseek-4.1-flash,5,135,41380,74800,10770874
runs,hermes,deepseek-4.1-flash,6,121,44026,105801,10708689
runs,hermes,deepseek-4.1-flash,7,101,33819,84163,7731118
runs,hermes,deepseek-4.1-flash,8,102,38912,85843,6905117
runs,hermes,deepseek-4.1-flash,9,117,61801,114315,10274515
runs,hermes,glm-5.3-flash,10,133,23900,54152,6148913
runs,hermes,glm-5.3-flash,11,140,26497,58724,7564427
runs,hermes,glm-5.3-flash,12,162,6954,31789,8059937
runs,hermes,glm-5.3-flash,13,145,11622,86800,9488240
runs,hermes,glm-5.3-flash,2,136,38009,66481,6507549
runs,hermes,glm-5.3-flash,3,105,32834,74195,5797296
runs,hermes,glm-5.3-flash,4,106,40808,72833,5481427
runs,hermes,glm-5.3-flash,5,129,30473,140623,10468593
runs,hermes,glm-5.3-flash,6,143,20655,43666,6793738
runs,hermes,glm-5.3-flash,7,113,14039,31596,4951566
runs,hermes,glm-5.3-flash,9,142,21112,47528,6106571
runs,opencode,deepseek-4.1-flash,1,120,20795,22019,4964375
runs,opencode,deepseek-4.1-flash,10,122,24526,23421,5095973
runs,opencode,deepseek-4.1-flash,11,109,29646,55101,5248268
runs,opencode,deepseek-4.1-flash,12,93,19692,15741,3237391
runs,opencode,deepseek-4.1-flash,13,111,27449,19618,4601630
runs,opencode,deepseek-4.1-flash,2,130,42243,50970,6093290
runs,opencode,deepseek-4.1-flash,3,100,15462,19055,3745488
runs,opencode,deepseek-4.1-flash,4,113,35962,25167,5794906
runs,opencode,deepseek-4.1-flash,5,127,16785,19195,4862333
runs,opencode,deepseek-4.1-flash,6,137,27709,29120,6473844
runs,opencode,deepseek-4.1-flash,7,122,28754,34246,6215392
runs,opencode,deepseek-4.1-flash,8,122,23353,16953,5130191
runs,opencode,deepseek-4.1-flash,9,136,18240,20837,5289973
runs,opencode,glm-5.3-flash,1,104,16000,18021,3772064
runs,opencode,glm-5.3-flash,10,122,48986,54024,6337402
runs,opencode,glm-5.3-flash,11,70,26554,29118,3558061
runs,opencode,glm-5.3-flash,12,137,19059,23880,6301388
runs,opencode,glm-5.3-flash,13,114,20950,30940,5084172
runs,opencode,glm-5.3-flash,2,134,28854,23149,6669835
runs,opencode,glm-5.3-flash,3,125,32526,22612,6245985
runs,opencode,glm-5.3-flash,4,184,75837,137423,9593916
runs,opencode,glm-5.3-flash,5,159,31695,29735,8415603
