dataset,harness,model,tree,auditable,commands,wrapper_calls,flagged_commands,of_which_scripts,of_which_inline,of_which_train_py_direct
airline,claude,deepseek-v4-flash:0731,bench3_ollama_final,False,,,,,,
airline,claude,deepseek-v4-pro:0813,bench3_ollama_final,False,,,,,,
airline,claude,deepseek-v4.1-flash,bench3_ollama_final,False,,,,,,
airline,claude,gpt-oss:120b,bench3_ollama_final,False,,,,,,
airline,claude,gpt-oss:20b,bench3_ollama_final,False,,,,,,
airline,claude,nemotron-3-nano:30b,bench3_ollama_final,False,,,,,,
airline,claude,nemotron-3-super,bench3_ollama_final,False,,,,,,
airline,claude,nemotron-3-ultra,bench3_ollama_final,False,,,,,,
airline,codex,deepseek-v4-flash:0731,bench3_ollama_final,True,242,38,0,0,0,0
airline,codex,deepseek-v4-pro:0813,bench3_ollama_final,True,246,34,69,69,0,0
airline,codex,deepseek-v4.1-flash,bench3_ollama_final,True,59,41,0,0,0,0
airline,codex,glm-5.3-flash,bench3_ollama_final,True,50,40,0,0,0,0
airline,codex,gpt-oss:120b,bench3_ollama_final,True,62,5,0,0,0,0
airline,codex,gpt-oss:20b,bench3_ollama_final,True,6,0,0,0,0,0
airline,codex,nemotron-3-nano:30b,bench3_ollama_final,True,22,6,0,0,0,0
airline,codex,nemotron-3-super,bench3_ollama_final,True,104,16,0,0,0,0
airline,codex,nemotron-3-ultra,bench3_ollama_final,True,254,40,0,0,0,0
airline,hermes,deepseek-v4-flash:0731,bench3_ollama_final,True,1637,31,0,0,0,0
airline,hermes,deepseek-v4-pro:0813,bench3_ollama_final,True,71,41,0,0,0,0
airline,hermes,deepseek-v4.1-flash,bench3_ollama_final,True,64,15,16,16,0,0
airline,hermes,glm-5.3-flash,bench3_ollama_final,True,74,41,2,0,2,0
airline,hermes,gpt-oss:120b,bench3_ollama_final,True,44,18,1,0,0,1
airline,hermes,gpt-oss:20b,bench3_ollama_final,True,0,0,0,0,0,0
airline,hermes,nemotron-3-nano:30b,bench3_ollama_final,True,31,6,0,0,0,0
airline,hermes,nemotron-3-super,bench3_ollama_final,True,325,42,0,0,0,0
airline,hermes,nemotron-3-ultra,bench3_ollama_final,True,126,40,0,0,0,0
airline,openclaw,deepseek-v4-flash:0731,bench3_ollama_final,False,,,,,,
airline,openclaw,deepseek-v4-pro:0813,bench3_ollama_final,False,,,,,,
